"","koi_disposition","koi_fpflag_nt","koi_fpflag_ss","koi_fpflag_co","koi_fpflag_ec","koi_period","koi_time0bk","koi_duration","ra","dec"
"1","CONFIRMED",0,0,0,0,9.48803557,170.53875,2.9575,291.93423,48.141651
"2","CONFIRMED",0,0,0,0,54.4183827,162.51384,4.507,291.93423,48.141651
"3","FALSE POSITIVE",0,1,0,0,19.89913995,175.850252,1.7822,297.00482,48.134129
"4","FALSE POSITIVE",0,1,0,0,1.736952453,170.307565,2.40641,285.53461,48.28521
"5","CONFIRMED",0,0,0,0,2.525591777,171.59555,1.6545,288.75488,48.2262
"6","CONFIRMED",0,0,0,0,11.09432054,171.20116,4.5945,296.28613,48.22467
"7","CONFIRMED",0,0,0,0,4.13443512,172.97937,3.1402,296.28613,48.22467
"8","CONFIRMED",0,0,0,0,2.56658897,179.55437,2.429,296.28613,48.22467
"9","FALSE POSITIVE",0,1,1,0,7.36178958,132.25053,5.022,298.86435,42.151569
"10","CONFIRMED",0,0,0,0,16.06864674,173.621937,3.5347,286.99948,48.37579
"11","CONFIRMED",0,0,0,0,2.470613377,122.763305,1.74319,286.80847,49.316399
"12","CONFIRMED",0,1,0,0,2.204735417,121.3585417,3.88864,292.24728,47.969521
"13","CONFIRMED",0,0,0,0,3.522498429,121.1194228,3.19843,281.28812,42.45108
"14","CONFIRMED",0,0,0,0,3.709214104,133.98318,2.6302,295.64871,48.49556
"15","FALSE POSITIVE",0,1,0,0,11.521446064,170.839688,3.6399,297.07993,47.597401
"16","FALSE POSITIVE",0,1,0,0,19.40393776,172.484253,12.2155,289.25821,47.635319
"17","FALSE POSITIVE",0,1,0,0,19.221388942,184.5521637,4.79843,295.81454,47.69035
"18","FALSE POSITIVE",0,1,0,0,16.46983774,180.881761,9.4378,297.15442,47.668701
"19","CONFIRMED",0,0,0,0,9.27358173,173.258155,3.2875,288.13824,47.724449
"20","CONFIRMED",0,0,0,0,6.02930329,171.602959,1.5821,283.71088,47.86327
